solver,seed,instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,gap_10s,gap_30s,gap_60s,gap_120s,gap_300s,n_rounds
deep-T1,1,T1_1000_10000_0.wclq,1000,10000,1014,1014,2658,2108,1.078895,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_1.wclq,1000,10000,986,986,2695,2123,1.153144,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_2.wclq,1000,10000,988,988,2697,2125,1.15081,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_3.wclq,1000,10000,982,982,2713,2167,1.206721,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_4.wclq,1000,10000,986,986,2754,2153,1.18357,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_5.wclq,1000,10000,977,977,2650,2123,1.172979,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_7.wclq,1000,10000,917,917,2607,2100,1.290076,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_8.wclq,1000,10000,966,966,2675,2070,1.142857,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_10000_9.wclq,1000,10000,1053,1053,2795,2182,1.072175,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_0.wclq,1000,1000,9991,9991,10969,10407,0.041637,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_1.wclq,1000,1000,10154,10154,10936,10495,0.033583,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_2.wclq,1000,1000,10318,10318,11342,10773,0.044098,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_3.wclq,1000,1000,10162,10162,10913,10575,0.040642,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_4.wclq,1000,1000,10100,10100,11220,10583,0.047822,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_5.wclq,1000,1000,10103,10103,11144,10560,0.045234,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_6.wclq,1000,1000,10318,10318,11311,10693,0.036344,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_7.wclq,1000,1000,9999,9999,11067,10476,0.047705,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_1000_9.wclq,1000,1000,10260,10260,11158,10661,0.039084,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_0.wclq,1000,15000,584,584,1799,1520,1.60274,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_1.wclq,1000,15000,556,556,1909,1534,1.758993,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_2.wclq,1000,15000,581,581,1968,1543,1.655766,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_3.wclq,1000,15000,592,592,1956,1542,1.60473,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_5.wclq,1000,15000,582,582,1907,1546,1.656357,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_6.wclq,1000,15000,586,586,1913,1529,1.609215,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_7.wclq,1000,15000,570,570,1921,1536,1.694737,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_8.wclq,1000,15000,608,608,1849,1517,1.495066,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_15000_9.wclq,1000,15000,611,611,1924,1554,1.543372,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_1.wclq,1000,20000,394,394,1515,1217,2.088832,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_2.wclq,1000,20000,403,403,1520,1225,2.039702,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_3.wclq,1000,20000,405,405,1492,1198,1.958025,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_4.wclq,1000,20000,408,408,1514,1210,1.965686,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_5.wclq,1000,20000,393,393,1495,1209,2.076336,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_6.wclq,1000,20000,399,399,1523,1222,2.062657,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_7.wclq,1000,20000,398,398,1522,1208,2.035176,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_8.wclq,1000,20000,396,396,1459,1201,2.032828,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_20000_9.wclq,1000,20000,414,414,1531,1233,1.978261,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_0.wclq,1000,5000,2345,2345,4573,3664,0.562473,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_1.wclq,1000,5000,2284,2284,4442,3576,0.565674,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_2.wclq,1000,5000,2286,2286,4575,3671,0.605862,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_3.wclq,1000,5000,2318,2318,4669,3713,0.601812,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_5.wclq,1000,5000,2258,2258,4533,3604,0.596103,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_6.wclq,1000,5000,2295,2295,4538,3633,0.583007,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_7.wclq,1000,5000,2224,2224,4429,3588,0.613309,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_8.wclq,1000,5000,2275,2275,4514,3602,0.583297,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_1000_5000_9.wclq,1000,5000,2312,2312,4543,3660,0.583045,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_0.wclq,100,1000,112,112,220,220,0.964286,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_1.wclq,100,1000,106,106,220,205,0.933962,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_3.wclq,100,1000,105,105,200,200,0.904762,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_4.wclq,100,1000,115,115,226,211,0.834783,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_5.wclq,100,1000,104,104,214,202,0.942308,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_7.wclq,100,1000,105,105,209,200,0.904762,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_1000_9.wclq,100,1000,99,99,212,196,0.979798,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_0.wclq,100,100,1090,1090,1194,1136,0.042202,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_1.wclq,100,100,1001,1001,1022,1013,0.011988,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_2.wclq,100,100,1027,1027,1060,1039,0.011685,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_6.wclq,100,100,1038,1038,1081,1052,0.013487,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_7.wclq,100,100,1032,1032,1084,1060,0.027132,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_100_8.wclq,100,100,1028,1028,1055,1048,0.019455,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_1.wclq,100,2000,44,44,108,108,1.454545,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_2.wclq,100,2000,45,45,105,105,1.333333,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_4.wclq,100,2000,43,43,105,103,1.395349,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_5.wclq,100,2000,41,41,109,106,1.585366,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_6.wclq,100,2000,47,47,105,105,1.234043,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_7.wclq,100,2000,47,47,110,110,1.340426,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_8.wclq,100,2000,48,48,115,114,1.375,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_2000_9.wclq,100,2000,43,43,111,107,1.488372,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_250_2.wclq,100,250,558,558,676,616,0.103943,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_250_3.wclq,100,250,535,535,656,636,0.188785,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_250_4.wclq,100,250,495,495,602,590,0.191919,OK,-1,-1,-1,-1,-1,1
deep-T1,1,T1_100_250_5.wclq,100,250,509,509,545,545,0.070727,OK,-1,-1,-1,-1,-1,1
