solver,dataset,seed,timestamp,instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,gap_10s,gap_60s,gap_300s,gap_600s,gap_1800s,gap_3600s,n_rounds
dual-fast,T1,1,20260419115628,T1_1000_10000_0.wclq,0,0,1014,1077,2658,2080,0.931291,OK,0.95122,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_10000_1.wclq,0,0,986,1074,2695,2111,0.965549,OK,1.014313,0.9803,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_2.wclq,0,0,988,1137,2697,2083,0.832014,OK,0.908597,0.860692,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_3.wclq,0,0,982,1121,2713,2123,0.893845,OK,0.975948,0.947706,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_4.wclq,0,0,986,1136,2754,2124,0.869718,OK,0.952598,0.912926,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_5.wclq,0,0,977,1119,2650,2092,0.869526,OK,0.924339,0.869526,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_6.wclq,0,0,974,1082,2707,2103,0.943623,OK,0.992565,0.966543,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_7.wclq,0,0,917,1027,2607,2061,1.006816,OK,1.047337,1.006816,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_8.wclq,0,0,966,1083,2675,2059,0.9012,OK,0.927239,0.918919,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_10000_9.wclq,0,0,1053,1116,2795,2172,0.946237,OK,0.98279,0.953237,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_1000_0.wclq,0,0,9991,10183,10969,10405,0.021801,OK,0.034702,0.033161,0.02979,0.025123,0.024114,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_1.wclq,0,0,10154,10338,10936,10488,0.01451,OK,0.028088,0.01933,0.017363,0.01451,-1,-1,110
dual-fast,T1,1,20260419115628,T1_1000_1000_2.wclq,0,0,10251,10511,11425,10777,0.025307,OK,0.03781,0.035721,0.03236,0.029617,0.029027,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_3.wclq,0,0,10186,10338,10899,10559,0.021377,OK,0.027818,0.027818,0.026042,0.02435,0.022366,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_4.wclq,0,0,10064,10291,11250,10577,0.027791,OK,0.038582,0.033512,0.030093,0.027991,-1,-1,110
dual-fast,T1,1,20260419115628,T1_1000_1000_5.wclq,0,0,10109,10339,11047,10569,0.022246,OK,0.03633,0.032614,0.025412,0.025412,0.023427,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_6.wclq,0,0,10360,10518,11269,10693,0.016638,OK,0.026482,0.022862,0.020519,0.018187,0.016638,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_7.wclq,0,0,10028,10159,11002,10472,0.03081,OK,0.041927,0.038866,0.036,0.033044,0.031521,-1,138
dual-fast,T1,1,20260419115628,T1_1000_1000_8.wclq,0,0,10177,10367,11123,10603,0.022765,OK,0.03332,0.032927,0.02822,0.025138,-1,-1,110
dual-fast,T1,1,20260419115628,T1_1000_1000_9.wclq,0,0,10289,10466,11169,10659,0.018441,OK,0.025782,0.023624,0.023329,0.021956,0.01883,-1,138
dual-fast,T1,1,20260419115628,T1_1000_15000_0.wclq,0,0,584,662,1799,1476,1.229607,OK,1.346582,1.229607,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_1.wclq,0,0,556,644,1909,1509,1.343168,OK,1.369159,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_15000_2.wclq,0,0,581,665,1968,1541,1.317293,OK,1.334848,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_15000_3.wclq,0,0,592,668,1956,1539,1.303892,OK,1.381679,1.320301,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_4.wclq,0,0,586,670,1909,1503,1.243284,OK,1.326625,1.284195,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_5.wclq,0,0,582,654,1907,1517,1.319572,OK,1.392744,1.351938,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_6.wclq,0,0,586,661,1913,1514,1.290469,OK,1.34,1.301059,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_7.wclq,0,0,570,671,1921,1515,1.257824,OK,1.338392,1.284639,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_8.wclq,0,0,608,677,1849,1511,1.231905,OK,1.389063,1.321045,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_15000_9.wclq,0,0,611,689,1924,1548,1.246734,OK,1.387097,1.248186,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_0.wclq,0,0,408,483,1510,1195,1.47412,OK,1.631808,1.577253,1.47412,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_1.wclq,0,0,394,448,1515,1208,1.696429,OK,1.766968,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_20000_2.wclq,0,0,403,460,1520,1206,1.621739,OK,1.717439,1.666667,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_3.wclq,0,0,405,454,1492,1194,1.629956,OK,1.715576,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_20000_4.wclq,0,0,408,453,1514,1197,1.642384,OK,1.713004,1.688341,1.642384,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_5.wclq,0,0,393,466,1495,1188,1.549356,OK,1.69265,1.573593,1.549356,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_6.wclq,0,0,399,464,1523,1206,1.599138,OK,1.706013,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_20000_7.wclq,0,0,398,454,1522,1195,1.632159,OK,1.788018,1.757437,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_8.wclq,0,0,396,449,1459,1182,1.632517,OK,1.702032,1.634744,1.632517,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_20000_9.wclq,0,0,414,462,1531,1220,1.640693,OK,1.729911,-1,-1,-1,-1,-1,26
dual-fast,T1,1,20260419115628,T1_1000_5000_0.wclq,0,0,2345,2604,4573,3688,0.416283,OK,0.443488,0.424488,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_1.wclq,0,0,2284,2552,4442,3592,0.407524,OK,0.443464,0.425911,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_2.wclq,0,0,2286,2581,4575,3671,0.422317,OK,0.446414,0.435667,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_3.wclq,0,0,2318,2531,4669,3715,0.467799,OK,0.514504,0.488048,0.468379,-1,-1,-1,82
dual-fast,T1,1,20260419115628,T1_1000_5000_4.wclq,0,0,2297,2624,4572,3718,0.416921,OK,0.430704,0.416921,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_5.wclq,0,0,2258,2520,4533,3613,0.43373,OK,0.454946,0.435714,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_6.wclq,0,0,2295,2512,4538,3650,0.453025,OK,0.455378,0.455378,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_7.wclq,0,0,2224,2491,4429,3601,0.445604,OK,0.454289,0.445604,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_8.wclq,0,0,2275,2523,4514,3612,0.431629,OK,0.452543,0.4348,-1,-1,-1,-1,54
dual-fast,T1,1,20260419115628,T1_1000_5000_9.wclq,0,0,2312,2532,4543,3663,0.446682,OK,0.474508,0.459857,0.454834,-1,-1,-1,82
