solver,seed,instance,V,E,best_lb,best_ub,gap,status
dual-deep,1,T1_1000_10000_0.wclq,1000,10000,1014,2108,1.078895,OK
dual-deep,1,T1_1000_10000_6.wclq,1000,10000,974,2135,1.191992,OK
dual-deep,1,T1_1000_1000_2.wclq,1000,1000,10318,10773,0.044098,OK
dual-deep,1,T1_1000_1000_8.wclq,1000,1000,10166,10606,0.043282,OK
dual-deep,1,T1_1000_15000_4.wclq,1000,15000,586,1520,1.593857,OK
dual-deep,1,T1_1000_20000_0.wclq,1000,20000,408,1209,1.963235,OK
dual-deep,1,T1_1000_20000_6.wclq,1000,20000,399,1222,2.062657,OK
dual-deep,1,T1_1000_5000_2.wclq,1000,5000,2286,3685,0.611986,OK
dual-deep,1,T1_1000_5000_8.wclq,1000,5000,2275,3603,0.583736,OK
dual-deep,1,T1_100_1000_4.wclq,100,1000,115,211,0.834783,OK
dual-deep,1,T1_100_100_0.wclq,100,100,1090,1136,0.042202,OK
dual-deep,1,T1_100_100_6.wclq,100,100,1038,1052,0.013487,OK
dual-deep,1,T1_100_2000_2.wclq,100,2000,45,105,1.333333,OK
dual-deep,1,T1_100_2000_8.wclq,100,2000,48,114,1.375,OK
dual-deep,1,T1_100_250_4.wclq,100,250,495,590,0.191919,OK
dual-deep,1,T1_100_500_0.wclq,100,500,261,381,0.45977,OK
dual-deep,1,T1_100_500_6.wclq,100,500,244,347,0.422131,OK
dual-deep,1,T1_100_750_2.wclq,100,750,180,242,0.344444,OK
dual-deep,1,T1_100_750_8.wclq,100,750,147,267,0.816327,OK
dual-deep,1,T1_150_1000_4.wclq,150,1000,266,433,0.62782,OK
dual-deep,1,T1_150_150_0.wclq,150,150,1602,1667,0.040574,OK
dual-deep,1,T1_150_150_6.wclq,150,150,1559,1615,0.03592,OK
dual-deep,1,T1_150_2000_2.wclq,150,2000,123,248,1.01626,OK
dual-deep,1,T1_150_2000_8.wclq,150,2000,111,258,1.324324,OK
dual-deep,1,T1_150_250_4.wclq,150,250,1107,1212,0.094851,OK
dual-deep,1,T1_150_3000_0.wclq,150,3000,73,180,1.465753,OK
dual-deep,1,T1_150_3000_6.wclq,150,3000,64,166,1.59375,OK
dual-deep,1,T1_150_500_2.wclq,150,500,607,757,0.247117,OK
dual-deep,1,T1_150_500_8.wclq,150,500,596,759,0.27349,OK
dual-deep,1,T1_150_750_4.wclq,150,750,379,549,0.448549,OK
dual-deep,1,T1_200_1000_0.wclq,200,1000,518,728,0.405405,OK
dual-deep,1,T1_200_1000_6.wclq,200,1000,500,716,0.432,OK
dual-deep,1,T1_200_2000_2.wclq,200,2000,217,408,0.880184,OK
dual-deep,1,T1_200_2000_8.wclq,200,2000,198,416,1.10101,OK
dual-deep,1,T1_200_250_4.wclq,200,250,1833,1894,0.033279,OK
dual-deep,1,T1_200_3000_0.wclq,200,3000,130,296,1.276923,OK
dual-deep,1,T1_200_3000_6.wclq,200,3000,116,282,1.431034,OK
dual-deep,1,T1_200_500_2.wclq,200,500,1089,1280,0.17539,OK
dual-deep,1,T1_200_500_8.wclq,200,500,1041,1230,0.181556,OK
dual-deep,1,T1_200_750_4.wclq,200,750,669,897,0.340807,OK
dual-deep,1,T1_250_1000_0.wclq,250,1000,819,1109,0.35409,OK
dual-deep,1,T1_250_1000_6.wclq,250,1000,786,1057,0.344784,OK
dual-deep,1,T1_250_2000_2.wclq,250,2000,350,638,0.822857,OK
dual-deep,1,T1_250_2000_8.wclq,250,2000,328,617,0.881098,OK
dual-deep,1,T1_250_250_4.wclq,250,250,2641,2711,0.026505,OK
dual-deep,1,T1_250_3000_0.wclq,250,3000,203,428,1.108374,OK
dual-deep,1,T1_250_3000_6.wclq,250,3000,192,456,1.375,OK
dual-deep,1,T1_250_5000_2.wclq,250,5000,105,287,1.733333,OK
dual-deep,1,T1_250_5000_8.wclq,250,5000,106,289,1.726415,OK
dual-deep,1,T1_250_500_4.wclq,250,500,1746,1930,0.105384,OK
dual-deep,1,T1_250_750_0.wclq,250,750,1106,1384,0.251356,OK
dual-deep,1,T1_250_750_6.wclq,250,750,1088,1297,0.192096,OK
dual-deep,1,T1_300_1000_2.wclq,300,1000,1204,1504,0.249169,OK
dual-deep,1,T1_300_1000_8.wclq,300,1000,1156,1492,0.290657,OK
dual-deep,1,T1_300_2000_4.wclq,300,2000,485,888,0.830928,OK
dual-deep,1,T1_300_3000_0.wclq,300,3000,290,606,1.089655,OK
dual-deep,1,T1_300_3000_6.wclq,300,3000,302,625,1.069536,OK
dual-deep,1,T1_300_300_2.wclq,300,300,3170,3193,0.007256,OK
dual-deep,1,T1_300_300_8.wclq,300,300,3115,3167,0.016693,OK
dual-deep,1,T1_300_5000_4.wclq,300,5000,153,412,1.69281,OK
dual-deep,1,T1_300_500_0.wclq,300,500,2244,2480,0.105169,OK
dual-deep,1,T1_300_500_6.wclq,300,500,2212,2439,0.102622,OK
dual-deep,1,T1_300_750_2.wclq,300,750,1605,1892,0.178816,OK
dual-deep,1,T1_300_750_8.wclq,300,750,1541,1859,0.20636,OK
dual-deep,1,T1_500_10000_4.wclq,500,10000,208,587,1.822115,OK
dual-deep,1,T1_500_1000_0.wclq,500,1000,3222,3654,0.134078,OK
dual-deep,1,T1_500_1000_6.wclq,500,1000,3246,3631,0.118608,OK
dual-deep,1,T1_500_2000_2.wclq,500,2000,1701,2219,0.304527,OK
dual-deep,1,T1_500_2000_8.wclq,500,2000,1493,2118,0.41862,OK
dual-deep,1,T1_500_5000_4.wclq,500,5000,524,1055,1.013359,OK
dual-deep,1,T1_500_500_0.wclq,500,500,5152,5476,0.062888,OK
dual-deep,1,T1_500_500_6.wclq,500,500,5153,5320,0.032408,OK
dual-deep,1,T1_50_1000_2.wclq,50,1000,21,41,0.952381,OK
dual-deep,1,T1_50_1000_8.wclq,50,1000,26,46,0.769231,OK
dual-deep,1,T1_50_100_4.wclq,50,100,315,356,0.130159,OK
dual-deep,1,T1_50_250_0.wclq,50,250,130,181,0.392308,OK
dual-deep,1,T1_50_250_6.wclq,50,250,118,163,0.381356,OK
dual-deep,1,T1_50_500_2.wclq,50,500,56,86,0.535714,OK
dual-deep,1,T1_50_500_8.wclq,50,500,54,96,0.777778,OK
dual-deep,1,T1_50_50_4.wclq,50,50,495,502,0.014141,OK
dual-deep,1,T1_50_750_0.wclq,50,750,38,69,0.815789,OK
dual-deep,1,T1_50_750_6.wclq,50,750,34,61,0.794118,OK
dual-deep,1,T1_800_0_2.wclq,800,799,8237,8642,0.049168,OK
dual-deep,1,T1_800_0_8.wclq,800,799,8194,8449,0.03112,OK
dual-deep,1,T1_800_10000_4.wclq,800,10000,598,1415,1.366221,OK
dual-deep,1,T1_800_1000_0.wclq,800,1000,7235,7741,0.069938,OK
dual-deep,1,T1_800_1000_6.wclq,800,1000,7313,7692,0.051826,OK
dual-deep,1,T1_800_2000_2.wclq,800,2000,4303,5088,0.182431,OK
dual-deep,1,T1_800_2000_8.wclq,800,2000,4245,4951,0.166313,OK
dual-deep,1,T1_800_5000_4.wclq,800,5000,1333,2406,0.804951,OK
dual-deep,2,T1_1000_10000_0.wclq,1000,10000,1014,2108,1.078895,OK
dual-deep,2,T1_1000_10000_6.wclq,1000,10000,974,2121,1.177618,OK
dual-deep,2,T1_1000_1000_2.wclq,1000,1000,10318,10773,0.044098,OK
dual-deep,2,T1_1000_1000_8.wclq,1000,1000,10166,10604,0.043085,OK
dual-deep,2,T1_1000_15000_4.wclq,1000,15000,586,1505,1.568259,OK
dual-deep,2,T1_1000_20000_0.wclq,1000,20000,408,1213,1.973039,OK
dual-deep,2,T1_1000_20000_6.wclq,1000,20000,399,1216,2.047619,OK
dual-deep,2,T1_1000_5000_2.wclq,1000,5000,2286,3671,0.605862,OK
dual-deep,2,T1_1000_5000_8.wclq,1000,5000,2275,3602,0.583297,OK
dual-deep,2,T1_100_1000_4.wclq,100,1000,115,211,0.834783,OK
dual-deep,2,T1_100_100_0.wclq,100,100,1090,1136,0.042202,OK
dual-deep,2,T1_100_100_6.wclq,100,100,1038,1052,0.013487,OK
dual-deep,2,T1_100_2000_2.wclq,100,2000,45,105,1.333333,OK
dual-deep,2,T1_100_2000_8.wclq,100,2000,48,114,1.375,OK
dual-deep,2,T1_100_250_4.wclq,100,250,495,590,0.191919,OK
dual-deep,2,T1_100_500_0.wclq,100,500,261,381,0.45977,OK
dual-deep,2,T1_100_500_6.wclq,100,500,244,347,0.422131,OK
dual-deep,2,T1_100_750_2.wclq,100,750,180,242,0.344444,OK
dual-deep,2,T1_100_750_8.wclq,100,750,147,267,0.816327,OK
dual-deep,2,T1_150_1000_4.wclq,150,1000,266,433,0.62782,OK
dual-deep,2,T1_150_150_0.wclq,150,150,1602,1667,0.040574,OK
dual-deep,2,T1_150_150_6.wclq,150,150,1559,1615,0.03592,OK
dual-deep,2,T1_150_2000_2.wclq,150,2000,123,248,1.01626,OK
dual-deep,2,T1_150_2000_8.wclq,150,2000,111,258,1.324324,OK
dual-deep,2,T1_150_250_4.wclq,150,250,1107,1212,0.094851,OK
dual-deep,2,T1_150_3000_0.wclq,150,3000,73,180,1.465753,OK
dual-deep,2,T1_150_3000_6.wclq,150,3000,64,166,1.59375,OK
dual-deep,2,T1_150_500_2.wclq,150,500,607,757,0.247117,OK
dual-deep,2,T1_150_500_8.wclq,150,500,596,759,0.27349,OK
dual-deep,2,T1_150_750_4.wclq,150,750,379,549,0.448549,OK
dual-deep,2,T1_200_1000_0.wclq,200,1000,518,728,0.405405,OK
dual-deep,2,T1_200_1000_6.wclq,200,1000,500,716,0.432,OK
dual-deep,2,T1_200_2000_2.wclq,200,2000,217,408,0.880184,OK
dual-deep,2,T1_200_2000_8.wclq,200,2000,198,416,1.10101,OK
dual-deep,2,T1_200_250_4.wclq,200,250,1833,1894,0.033279,OK
dual-deep,2,T1_200_3000_0.wclq,200,3000,130,296,1.276923,OK
dual-deep,2,T1_200_3000_6.wclq,200,3000,116,282,1.431034,OK
dual-deep,2,T1_200_500_2.wclq,200,500,1089,1280,0.17539,OK
dual-deep,2,T1_200_500_8.wclq,200,500,1041,1230,0.181556,OK
dual-deep,2,T1_200_750_4.wclq,200,750,669,897,0.340807,OK
dual-deep,2,T1_250_1000_0.wclq,250,1000,819,1109,0.35409,OK
dual-deep,2,T1_250_1000_6.wclq,250,1000,786,1057,0.344784,OK
dual-deep,2,T1_250_2000_2.wclq,250,2000,350,638,0.822857,OK
dual-deep,2,T1_250_2000_8.wclq,250,2000,328,617,0.881098,OK
dual-deep,2,T1_250_250_4.wclq,250,250,2641,2711,0.026505,OK
dual-deep,2,T1_250_3000_0.wclq,250,3000,203,428,1.108374,OK
dual-deep,2,T1_250_3000_6.wclq,250,3000,192,456,1.375,OK
dual-deep,2,T1_250_5000_2.wclq,250,5000,105,287,1.733333,OK
dual-deep,2,T1_250_5000_8.wclq,250,5000,106,289,1.726415,OK
dual-deep,2,T1_250_500_4.wclq,250,500,1746,1930,0.105384,OK
dual-deep,2,T1_250_750_0.wclq,250,750,1106,1384,0.251356,OK
dual-deep,2,T1_250_750_6.wclq,250,750,1088,1297,0.192096,OK
dual-deep,2,T1_300_1000_2.wclq,300,1000,1204,1504,0.249169,OK
dual-deep,2,T1_300_1000_8.wclq,300,1000,1156,1491,0.289792,OK
dual-deep,2,T1_300_2000_4.wclq,300,2000,485,890,0.835052,OK
dual-deep,2,T1_300_3000_0.wclq,300,3000,290,606,1.089655,OK
dual-deep,2,T1_300_3000_6.wclq,300,3000,302,625,1.069536,OK
dual-deep,2,T1_300_300_2.wclq,300,300,3170,3193,0.007256,OK
dual-deep,2,T1_300_300_8.wclq,300,300,3115,3167,0.016693,OK
dual-deep,2,T1_300_5000_4.wclq,300,5000,153,411,1.686275,OK
dual-deep,2,T1_300_500_0.wclq,300,500,2244,2480,0.105169,OK
dual-deep,2,T1_300_500_6.wclq,300,500,2212,2439,0.102622,OK
dual-deep,2,T1_300_750_2.wclq,300,750,1605,1892,0.178816,OK
dual-deep,2,T1_300_750_8.wclq,300,750,1541,1859,0.20636,OK
dual-deep,2,T1_500_10000_4.wclq,500,10000,208,587,1.822115,OK
dual-deep,2,T1_500_1000_0.wclq,500,1000,3222,3654,0.134078,OK
dual-deep,2,T1_500_1000_6.wclq,500,1000,3246,3631,0.118608,OK
dual-deep,2,T1_500_2000_2.wclq,500,2000,1701,2219,0.304527,OK
