dataset,family,baseline_solver,instance,repeats,formats,has_lb_summary,V,E,first_lb_min,first_lb_mean,first_lb_median,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_ub_min,best_ub_mean,best_ub_median,final_gap_mean,historical_value_min,historical_value_mean,historical_value_median
BHOSLIB,deep,dualdeep,frb100-40.clq,10,summary,1,4000,7425226,1,1,1,1,1,1,1,2,2,2,0.5,2,2,2
BHOSLIB,deep,dualdeep,frb30-15-1.clq,10,summary,1,450,83198,4,4,4,4,4,4,4,4,4,4,0.0,4,4,4
BHOSLIB,deep,dualdeep,frb30-15-2.clq,10,summary,1,450,83151,6,6,6,6,6,6,6,7,7,7,0.1429,7,7,7
BHOSLIB,deep,dualdeep,frb30-15-3.clq,10,summary,1,450,83216,7,7,7,7,7,7,7,7,7,7,0.0,7,7,7
BHOSLIB,deep,dualdeep,frb30-15-4.clq,10,summary,1,450,83194,5,5,5,5,5,5,5,6,6,6,0.1667,6,6,6
BHOSLIB,deep,dualdeep,frb30-15-5.clq,10,summary,1,450,83231,7,7,7,7,7,7,7,9,9,9,0.2222,9,9,9
BHOSLIB,deep,dualdeep,frb35-17-1.clq,10,summary,1,595,148859,5,5,5,5,5,5,5,8,8,8,0.375,8,8,8
BHOSLIB,deep,dualdeep,frb35-17-2.clq,10,summary,1,595,148868,4,4,4,4,4,4,4,5,5,5,0.2,5,5,5
BHOSLIB,deep,dualdeep,frb35-17-3.clq,10,summary,1,595,148784,5,5,5,5,5,5,5,6,6,6,0.1667,6,6,6
BHOSLIB,deep,dualdeep,frb35-17-4.clq,10,summary,1,595,148873,4,4,4,4,4,4,4,4,4,4,0.0,4,4,4
BHOSLIB,deep,dualdeep,frb35-17-5.clq,10,summary,1,595,148572,4,4,4,5,5,5,5,7,7,7,0.2857,7,7,7
BHOSLIB,deep,dualdeep,frb40-19-1.clq,10,summary,1,760,247106,3,3,3,4,4,4,4,5,5,5,0.2,5,5,5
BHOSLIB,deep,dualdeep,frb40-19-2.clq,10,summary,1,760,247157,4,4,4,4,4,4,4,4,4,4,0.0,4,4,4
BHOSLIB,deep,dualdeep,frb40-19-3.clq,10,summary,1,760,247325,3,3,3,3,3,3,3,4,4,4,0.25,4,4,4
BHOSLIB,deep,dualdeep,frb40-19-4.clq,10,summary,1,760,246815,4,4,4,4,4,4,4,5,5,5,0.2,5,5,5
BHOSLIB,deep,dualdeep,frb40-19-5.clq,10,summary,1,760,246801,3,3,3,4,4,4,4,4,4,4,0.0,4,4,4
BHOSLIB,deep,dualdeep,frb45-21-1.clq,10,summary,1,945,386854,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb45-21-2.clq,10,summary,1,945,387416,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb45-21-3.clq,10,summary,1,945,387795,3,3,3,3,3,3,3,3,3,3,0.0,3,3,3
BHOSLIB,deep,dualdeep,frb45-21-4.clq,10,summary,1,945,387491,3,3,3,3,3,3,3,4,4,4,0.25,4,4,4
BHOSLIB,deep,dualdeep,frb45-21-5.clq,10,summary,1,945,387461,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb50-23-1.clq,10,summary,1,1150,580603,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb50-23-2.clq,10,summary,1,1150,579824,2,2,2,2,2,2,2,4,4,4,0.5,4,4,4
BHOSLIB,deep,dualdeep,frb50-23-3.clq,10,summary,1,1150,579607,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb50-23-4.clq,10,summary,1,1150,580417,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb50-23-5.clq,10,summary,1,1150,580640,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb53-24-1.clq,10,summary,1,1272,714129,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb53-24-2.clq,10,summary,1,1272,714067,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb53-24-3.clq,10,summary,1,1272,714229,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb53-24-4.clq,10,summary,1,1272,714048,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb53-24-5.clq,10,summary,1,1272,714130,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb56-25-1.clq,10,summary,1,1400,869624,1,1,1,1,1,1,1,3,3,3,0.6667,3,3,3
BHOSLIB,deep,dualdeep,frb56-25-2.clq,10,summary,1,1400,869899,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb56-25-3.clq,10,summary,1,1400,869921,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb56-25-4.clq,10,summary,1,1400,869262,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb56-25-5.clq,10,summary,1,1400,869699,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb59-26-1.clq,10,summary,1,1534,1049256,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb59-26-2.clq,10,summary,1,1534,1049648,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb59-26-3.clq,10,summary,1,1534,1049729,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb59-26-4.clq,10,summary,1,1534,1048800,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,deep,dualdeep,frb59-26-5.clq,10,summary,1,1534,1049829,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
BHOSLIB,fast,dualcc2v3,frb100-40.clq,10,simple,0,,,,,,,,,,,,,,2.0,2,2
BHOSLIB,fast,dualcc2v3,frb30-15-1.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb30-15-2.clq,10,simple,0,,,,,,,,,,,,,,7.0,7,7
BHOSLIB,fast,dualcc2v3,frb30-15-3.clq,10,simple,0,,,,,,,,,,,,,,7.0,7,7
BHOSLIB,fast,dualcc2v3,frb30-15-4.clq,10,simple,0,,,,,,,,,,,,,,6.0,6,6
BHOSLIB,fast,dualcc2v3,frb30-15-5.clq,10,simple,0,,,,,,,,,,,,,,9.0,9,9
BHOSLIB,fast,dualcc2v3,frb35-17-1.clq,10,simple,0,,,,,,,,,,,,,,8.0,8,8
BHOSLIB,fast,dualcc2v3,frb35-17-2.clq,10,simple,0,,,,,,,,,,,,,,5.0,5,5
BHOSLIB,fast,dualcc2v3,frb35-17-3.clq,10,simple,0,,,,,,,,,,,,,,6.0,6,6
BHOSLIB,fast,dualcc2v3,frb35-17-4.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb35-17-5.clq,10,simple,0,,,,,,,,,,,,,,7.0,7,7
BHOSLIB,fast,dualcc2v3,frb40-19-1.clq,10,simple,0,,,,,,,,,,,,,,5.0,5,5
BHOSLIB,fast,dualcc2v3,frb40-19-2.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb40-19-3.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb40-19-4.clq,10,simple,0,,,,,,,,,,,,,,5.0,5,5
BHOSLIB,fast,dualcc2v3,frb40-19-5.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb45-21-1.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb45-21-2.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb45-21-3.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb45-21-4.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb45-21-5.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb50-23-1.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb50-23-2.clq,10,simple,0,,,,,,,,,,,,,,4.0,4,4
BHOSLIB,fast,dualcc2v3,frb50-23-3.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb50-23-4.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb50-23-5.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb53-24-1.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb53-24-2.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb53-24-3.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb53-24-4.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb53-24-5.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb56-25-1.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb56-25-2.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb56-25-3.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb56-25-4.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb56-25-5.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb59-26-1.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb59-26-2.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb59-26-3.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb59-26-4.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
BHOSLIB,fast,dualcc2v3,frb59-26-5.clq,10,simple,0,,,,,,,,,,,,,,3.0,3,3
DIMACS,deep,dualdeep,C1000.9.clq,10,summary,1,1000,450079,2,2,2,2,2,2,2,3,3,3,0.3333,3,3,3
DIMACS,deep,dualdeep,C125.9.clq,10,summary,1,125,6963,7,7,7,7,7,7,7,7,7,7,0.0,7,7,7
DIMACS,deep,dualdeep,C2000.5.clq,10,summary,1,2000,999836,4,4,4,5,5,5,5,10,10,10,0.5,10,10,10
DIMACS,deep,dualdeep,C2000.9.clq,10,summary,1,2000,1799532,1,1,1,1,1,1,1,3,3,3,0.6667,3,3,3
DIMACS,deep,dualdeep,C250.9.clq,10,summary,1,250,27984,4,4,4,4,4,4,4,5,5,5,0.2,5,5,5
DIMACS,deep,dualdeep,C4000.5.clq,10,summary,1,4000,4000268,3,3,3,3,3,3,3,9,9,9,0.6667,9,9,9
DIMACS,deep,dualdeep,C500.9.clq,10,summary,1,500,112332,2,2,2,2,2,2,2,4,4,4,0.5,4,4,4
DIMACS,deep,dualdeep,DSJC1000_5.clq,9,summary,1,1000,499652,6,6,6,8,8,8,8,13,13,13,0.3846,13,13,13
DIMACS,deep,dualdeep,DSJC500_5.clq,1,summary,1,500,125248,11,11,11,11,11,11,11,16,16,16,0.3125,16,16,16
DIMACS,deep,dualdeep,MANN_a27.clq,10,summary,1,378,70551,3,3,3,3,3,3,3,4,4,4,0.25,4,4,4
DIMACS,deep,dualdeep,MANN_a45.clq,10,summary,1,1035,533115,1,1,1,1,1,1,1,2,2,2,0.5,2,2,2
DIMACS,deep,dualdeep,MANN_a81.clq,10,summary,1,3321,5506380,1,1,1,1,1,1,1,2,2,2,0.5,2,2,2
DIMACS,deep,dualdeep,MANN_a9.clq,10,summary,1,45,918,4,4,4,4,4,4,4,5,5,5,0.2,5,5,5
DIMACS,deep,dualdeep,T1_1000_1000_0.wclq,10,summary,1,1000,1000,9991,9991,9991,10126,10182.1,10187.5,10216,10405,10405.8,10406,0.0215,10405,10405.8,10406
DIMACS,deep,dualdeep,T1_1000_1000_1.wclq,10,summary,1,1000,1000,10154,10154,10154,10317,10338.7,10337.5,10366,10486,10486.1,10486,0.01404,10486,10486.1,10486
DIMACS,deep,dualdeep,T1_1000_1000_2.wclq,10,summary,1,1000,1000,10318,10318,10318,10465,10493.6,10496.5,10515,10770,10770.9,10771,0.025750000000000002,10770,10770.9,10771
DIMACS,deep,dualdeep,T1_1000_1000_3.wclq,10,summary,1,1000,1000,10162,10162,10162,10301,10327.1,10327,10351,10559,10559.8,10560,0.02202,10559,10559.8,10560
DIMACS,deep,dualdeep,T1_1000_1000_4.wclq,10,summary,1,1000,1000,10100,10100,10100,10273,10305.8,10305.5,10337,10568,10570,10569,0.025,10568,10570,10569
