dataset,instance,runs,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_lb_std,lb_gain_mean,lb_gain_median,lb_gain_std,gap_mean,gap_median,baseline_repeats,baseline_has_lb_summary,baseline_best_lb_mean,delta_best_lb_vs_baseline,baseline_value_mean
BHOSLIB,frb30-15-1.clq,5,4,4.0,4,4,0.0,0.0,0,0.0,0.0,0.0,10,1,4,0.0,4
BHOSLIB,frb40-19-1.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.6666666666666666,0.6666666666666666,10,1,4,-1.0,5
BHOSLIB,frb50-23-3.clq,5,2,2.0,2,2,0.0,0.0,0,0.0,0.5,0.5,10,1,2,0.0,3
BHOSLIB,frb56-25-1.clq,5,1,1.0,1,1,0.0,0.0,0,0.0,2.0,2.0,10,1,1,0.0,3
BHOSLIB,frb56-25-4.clq,5,2,2.0,2,2,0.0,0.0,0,0.0,0.5,0.5,10,1,2,0.0,3
DIMACS,C4000.5.clq,1,3,3.0,3,3,0,0.0,0,0,2.0,2.0,10,1,3,0.0,9
DIMACS,DSJC500_5.clq,5,11,11.0,11,11,0.0,0.0,0,0.0,0.4545454545454545,0.45454545454545453,1,1,11,0.0,16
DIMACS,gen200_p0.9_55.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.2,0.2,10,1,5,0.0,6
DIMACS,hamming6-2.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.0,0.0,10,1,5,0.0,5
DIMACS,p_hat300-2.clq,5,29,29.0,29,29,0.0,0.0,0,0.0,0.06896551724137931,0.06896551724137931,10,1,29,0.0,31
DIMACS10,as-22july06.clq,5,166420,166420.0,166420,166420,0.0,0.0,0,0.0,0.0,0.0,10,0,,,166420
DIMACS10,eu-2005.clq,2,2779417,2779417.0,2779417.0,2779417,0.0,0.0,0.0,0.0,0.010957693645825724,0.010957693645825724,10,0,,,2809844.3
DIMACS10,in-2004.clq,5,7394444,7394599.4,7394560,7394780,131.27375975418698,2907.4,2868,131.27375975418698,0.0030100361833461037,0.003007751644452138,10,0,,,7416436.9
NDR,web-it-2004.clq,5,2567318,2567318.0,2567318,2567318,0.0,1.0,1,0.0,7.517572813340616e-05,7.790230894653487e-05,8,0,,,2567502.25
NDR,wikipedia_link_en.clq,5,2408968440,2408968440.0,2408968440,2408968440,0.0,0.0,0,0.0,5.645570018343619e-08,5.645570018343619e-08,8,0,,,2408968576
SNAP,Amazon0302.clq,5,2266893,2266893.0,2266893,2266893,0.0,0.0,0,0.0,0.045712259025900204,0.04564573625662967,10,1,2266893,0.0,2370204.5
SNAP,Cit-HepTh.clq,5,213028,213028.0,213028,213028,0.0,0.0,0,0.0,0.00676906322173611,0.006759674784535367,10,1,213330.9,-302.8999999999942,214468.3
SNAP,Slashdot0902.clq,5,1142491,1142491.0,1142491,1142491,0.0,0.0,0,0.0,0.00044954402266626173,0.0004490188544154834,10,1,1142491,0.0,1143003.1
SNAP,Wiki-Vote.clq,5,86402,86402.0,86402,86402,0.0,0.0,0,0.0,0.0,0.0,10,1,86402,0.0,86402
SNAP,p2p-Gnutella25.clq,5,377449,377449.0,377449,377449,0.0,0.0,0,0.0,0.0,0.0,10,1,377449,0.0,377449
T1,T1_1000_1000_2.wclq,5,10318,10318.0,10318,10318,0.0,0.0,0,0.0,0.043865090133746856,0.04390385733669316,4,0,,,10776.5
T1,T1_100_100_2.wclq,5,1027,1027.8,1027,1030,1.3038404810405297,0.8,0,1.3038404810405297,0.010898361444724815,0.011684518013631937,7,0,,,1039
T1,T1_200_2000_8.wclq,5,232,234.8,234,239,2.588435821108957,36.8,36,2.588435821108957,0.7718915087694883,0.7777777777777778,3,0,,,416
T1,T1_200_250_7.wclq,5,1866,1870.0,1871,1874,3.391164991562634,22.0,23,3.391164991562634,0.03583160274984196,0.03527525387493319,4,0,,,1937
T1,T1_50_1000_0.wclq,5,28,28.0,28,28,0.0,0.0,0,0.0,0.42857142857142855,0.42857142857142855,4,0,,,40
T2,T2_1000_20000_9.wclq,5,6125,6134.4,6134,6142,6.580273550544841,791.4,791,6.58027355054484,0.16996064953494694,0.17003586566677534,7,0,,,7177
T2,T2_150_2000_1.wclq,5,516,517.2,517,518,0.8366600265340756,14.2,14,0.8366600265340756,0.15622825316046493,0.15667311411992263,5,0,,,598
T2,T2_250_2000_3.wclq,5,1049,1055.6,1055,1066,6.877499545619759,52.6,52,6.877499545619759,0.12072758637890421,0.12132701421800948,5,0,,,1183
T2,T2_250_250_8.wclq,5,306,306.0,306,306,0.0,0.0,0,0.0,0.0,0.0,8,0,,,306
T2,T2_50_1000_6.wclq,5,11,11.0,11,11,0.0,0.0,0,0.0,0.0,0.0,8,0,,,11
UDG,UDG_1000_200_8.wclq,2,38,38.0,38.0,38,0.0,0.0,0.0,0.0,0.07894736842105263,0.07894736842105263,10,1,38.2,-0.20000000000000284,41
UDG,UDG_100_200_1.wclq,5,210,210.0,210,210,0.0,0.0,0,0.0,0.0,0.0,10,1,210,0.0,210
UDG,UDG_500_150_3.wclq,5,162,162.0,162,162,0.0,0.0,0,0.0,0.0,0.0,10,1,162,0.0,162
UDG,UDG_50_150_0.wclq,5,462,462.0,462,462,0.0,0.0,0,0.0,0.0,0.0,10,1,462,0.0,462
UDG,UDG_800_200_8.wclq,5,39,39.0,39,39,0.0,0.0,0,0.0,0.0,0.0,10,1,39,0.0,39
