instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,1,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,20,deep-v6,BHOSLIB,1,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,1,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,1,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,1,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,2,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,21,deep-v6,BHOSLIB,2,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,2,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,2,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,2,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,3,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,21,deep-v6,BHOSLIB,3,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,3,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,3,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,deep-v6,BHOSLIB,3,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,4,20260517221140,0
