dataset,instance,runs,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_lb_std,lb_gain_mean,lb_gain_median,lb_gain_std,gap_mean,gap_median,baseline_repeats,baseline_has_lb_summary,baseline_best_lb_mean,delta_best_lb_vs_baseline,baseline_value_mean
BHOSLIB,frb30-15-1.clq,5,4,4.0,4,4,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb40-19-1.clq,5,4,4.0,4,4,0.0,1.0,1,0.0,0.25,0.25,,,,,
BHOSLIB,frb50-23-3.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb56-25-1.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
BHOSLIB,frb56-25-4.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS,C4000.5.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,2.0,2.0,,,,,
DIMACS,DSJC500_5.clq,5,12,12.0,12,12,0.0,1.0,1,0.0,0.3333333333333333,0.3333333333333333,,,,,
DIMACS,gen200_p0.9_55.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.2,0.2,,,,,
DIMACS,hamming6-2.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS,p_hat300-2.clq,5,29,29.0,29,29,0.0,0.0,0,0.0,0.06896551724137931,0.06896551724137931,,,,,
DIMACS10,as-22july06.clq,5,166420,166420.0,166420,166420,0.0,0.0,0,0.0,0.0,0.0,,,,,
DIMACS10,eu-2005.clq,5,2779366,2779366.0,2779366,2779366,0.0,0.0,0,0.0,0.015068184614764663,0.015068184614764663,,,,,
DIMACS10,in-2004.clq,5,7391437,7391437.0,7391437,7391437,0.0,0.0,0,0.0,0.005095355612176631,0.005095355612176631,,,,,
DIMACS10,ldoor.clq,5,980060,980060.0,980060,980060,0.0,0.0,0,0.0,0.25712405362936963,0.25712405362936963,,,,,
DIMACS10,uk-2002.clq,5,100062741,100064771.4,100062909,100068173,2722.2661148388856,0.0,0,0.0,0.009961696834697612,0.009991880993945589,,,,,
NDR,inf-roadNet-CA.clq,5,46547673,46547673.0,46547673,46547673,0.0,0.0,0,0.0,0.18865452199941338,0.18865452199941338,,,,,
NDR,sc-rel9.clq,5,6236434,6236434.0,6236434,6236434,0.0,0.0,0,0.0,1.2934322723530787,1.2934322723530787,,,,,
NDR,tech-ip.clq,5,2094,2094.0,2094,2094,0.0,0.0,0,0.0,0.12206303724928366,0.1227316141356256,,,,,
NDR,web-it-2004.clq,5,2567317,2567317.0,2567317,2567317,0.0,0.0,0,0.0,0.00012191716098946878,0.00012191716098946878,,,,,
NDR,wikipedia_link_en.clq,5,2408968440,2408968440.0,2408968440,2408968440,0.0,0.0,0,0.0,1.0253351430374074e-07,1.0253351430374073e-07,,,,,
SNAP,Amazon0302.clq,5,2264711,2264711.0,2264711,2264711,0.0,0.0,0,0.0,0.11238855642066473,0.1247236402348909,,,,,
SNAP,Cit-HepTh.clq,5,213014,213014.0,213014,213014,0.0,0.0,0,0.0,0.008254856488305934,0.008196644352014422,,,,,
SNAP,Slashdot0902.clq,5,1142449,1142449.0,1142449,1142449,0.0,0.0,0,0.0,0.0005864594393272698,0.0005864594393272698,,,,,
SNAP,Wiki-Vote.clq,5,86402,86402.0,86402,86402,0.0,0.0,0,0.0,0.0,0.0,,,,,
SNAP,p2p-Gnutella25.clq,5,377449,377449.0,377449,377449,0.0,0.0,0,0.0,0.0,0.0,,,,,
T1,T1_1000_1000_2.wclq,5,10251,10251.0,10251,10251,0.0,0.0,0,0.0,0.0518973758657692,0.051897375865769195,,,,,
T1,T1_100_100_2.wclq,5,1026,1027.0,1027,1028,0.7071067811865476,5.0,5,0.7071067811865476,0.011684901689619684,0.011684518013631937,,,,,
T1,T1_200_2000_8.wclq,5,237,240.0,241,241,1.7320508075688772,42.0,43,1.7320508075688772,0.7334061662902462,0.7261410788381742,,,,,
T1,T1_200_250_7.wclq,5,1869,1871.8,1871,1879,4.147288270665544,38.8,38,4.147288270665544,0.03483683511583356,0.03527525387493319,,,,,
T1,T1_50_1000_0.wclq,5,40,40.0,40,40,0.0,0.0,0,0.0,0.0,0.0,,,,,
T2,T2_1000_20000_9.wclq,5,6091,6112.0,6119,6136,19.06567596493762,769.0,776,19.06567596493762,0.17425652359740743,0.17290406929236804,,,,,
T2,T2_150_2000_1.wclq,5,518,523.0,522,531,4.847679857416329,20.0,19,4.847679857416329,0.14348143933412758,0.14559386973180077,,,,,
T2,T2_250_2000_3.wclq,5,1064,1064.8,1065,1065,0.4472135954999579,61.8,62,0.4472135954999579,0.11100691870521376,0.1107981220657277,,,,,
T2,T2_250_250_8.wclq,5,306,306.0,306,306,0.0,0.0,0,0.0,0.0,0.0,,,,,
T2,T2_50_1000_6.wclq,5,11,11.0,11,11,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_1000_200_8.wclq,5,38,38.2,38,39,0.4472135954999579,0.2,0,0.447213595499958,0.07341430499325237,0.07894736842105263,,,,,
UDG,UDG_100_200_1.wclq,5,210,210.0,210,210,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_500_150_3.wclq,5,162,162.0,162,162,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_50_150_0.wclq,5,462,462.0,462,462,0.0,0.0,0,0.0,0.0,0.0,,,,,
UDG,UDG_800_200_8.wclq,5,39,39.0,39,39,0.0,0.0,0,0.0,0.0,0.0,,,,,
