instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,1,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,20,fast-v19,BHOSLIB,1,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,1,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,1,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,1,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,2,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,20,fast-v19,BHOSLIB,2,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,2,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,2,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,2,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,3,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,20,fast-v19,BHOSLIB,3,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,3,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,3,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,3,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,4,20260517221140,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,19,fast-v19,BHOSLIB,4,20260517221140,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,4,20260517221140,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,4,20260517221140,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,4,20260517221140,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,fast-v19,BHOSLIB,5,20260517221401,0
frb40-19-1.clq,760,247106,3,4,5,5,0.25,OK,22,fast-v19,BHOSLIB,5,20260517221401,1
frb50-23-3.clq,1150,579607,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,5,20260517221401,0
frb56-25-1.clq,1400,869624,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,5,20260517221401,0
frb56-25-4.clq,1400,869262,3,3,3,3,0.0,OPT,1,fast-v19,BHOSLIB,5,20260517221401,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,1,20260517222328,0
eu-2005.clq,0,0,2779366,2779366,2821246,2821246,0.015068184614764663,TIMEOUT,1,fast-v19,DIMACS10,1,20260517222328,0
in-2004.clq,0,0,7391437,7391437,7429099,7429099,0.005095355612176631,TIMEOUT,1,fast-v19,DIMACS10,1,20260517222328,0
ldoor.clq,0,0,980060,980060,1232057,1232057,0.25712405362936963,TIMEOUT,1,fast-v19,DIMACS10,1,20260517222328,0
uk-2002.clq,0,0,100062741,100062741,101062556,101062556,0.009991880993945589,TIMEOUT,1,fast-v19,DIMACS10,1,20260517222328,0
as-22july06.clq,22963,48436,166420,166420,166420,166420,0.0,OPT,1,fast-v19,DIMACS10,2,20260517222659,0
eu-2005.clq,0,0,2779366,2779366,2821246,2821246,0.015068184614764663,TIMEOUT,1,fast-v19,DIMACS10,2,20260517222659,0
in-2004.clq,0,0,7391437,7391437,7429099,7429099,0.005095355612176631,TIMEOUT,1,fast-v19,DIMACS10,2,20260517222659,0
ldoor.clq,0,0,980060,980060,1232057,1232057,0.25712405362936963,TIMEOUT,1,fast-v19,DIMACS10,2,20260517222659,0
