dataset,rank,instance,deep_repeats,fast_repeats,deep_has_lb,fast_has_lb,deep_value_mean,fast_value_mean,score
T1,1,T1_50_1000_0.wclq,4,5,0,0,40,40,"(2, 40.0, 1000001050)"
T1,2,T1_200_2000_8.wclq,3,5,0,0,416,416,"(2, 416.0, 1000002208)"
T1,3,T1_100_100_2.wclq,7,5,0,0,1039,1039,"(2, 1039.0, 1000000202)"
T1,4,T1_200_250_7.wclq,4,5,0,0,1937,1937,"(2, 1937.0, 1000000457)"
T1,5,T1_1000_1000_2.wclq,4,5,0,0,10776.5,10783,"(2, 10779.75, 1000002002)"
T2,1,T2_50_1000_6.wclq,8,8,0,0,11,11,"(2, 11.0, 2000001056)"
T2,2,T2_250_250_8.wclq,8,5,0,0,306,306,"(2, 306.0, 2000000508)"
T2,3,T2_150_2000_1.wclq,5,5,0,0,598,598,"(2, 598.0, 2000002151)"
T2,4,T2_250_2000_3.wclq,5,5,0,0,1183,1183,"(2, 1183.0, 2000002253)"
T2,5,T2_1000_20000_9.wclq,7,5,0,0,7177,7177,"(2, 7177.0, 2000021009)"
UDG,1,UDG_50_150_0.wclq,10,10,1,0,462,462,"(0, 0.0, 50000000150)"
UDG,2,UDG_100_200_1.wclq,10,10,1,0,210,210,"(0, 0.0, 100000000201)"
UDG,3,UDG_500_150_3.wclq,10,10,1,0,162,162,"(0, 0.0, 500000000153)"
UDG,4,UDG_800_200_8.wclq,10,10,1,0,39,39,"(0, 0.0, 800000000208)"
UDG,5,UDG_1000_200_8.wclq,10,10,1,0,41,41,"(0, 0.06832, 1000000000208)"
BHOSLIB,1,frb30-15-1.clq,10,10,1,0,4,4,"(0, 0.0, 30000000016)"
BHOSLIB,2,frb40-19-1.clq,10,10,1,0,5,5,"(0, 0.2, 40000000020)"
BHOSLIB,3,frb50-23-3.clq,10,10,1,0,3,3,"(0, 0.3333, 50000000026)"
BHOSLIB,4,frb56-25-4.clq,10,10,1,0,3,3,"(0, 0.3333, 56000000029)"
BHOSLIB,5,frb56-25-1.clq,10,10,1,0,3,3,"(0, 0.6667, 56000000026)"
DIMACS,1,hamming6-2.clq,10,10,1,0,5,5,"(0, 0.0, 6000000002)"
DIMACS,2,p_hat300-2.clq,10,10,1,0,31,31,"(0, 0.0645, 300000000002)"
DIMACS,3,gen200_p0.9_55.clq,10,10,1,0,6,6,"(0, 0.1667, 200000000064)"
DIMACS,4,DSJC500_5.clq,1,10,1,0,16,16,"(0, 0.3125, 500000000005)"
DIMACS,5,C4000.5.clq,10,10,1,0,9,9,"(0, 0.6667, 4000000000005)"
DIMACS10,1,as-22july06.clq,10,10,0,0,166420,166420,"(2, 166420.0, 22000000006)"
DIMACS10,2,ldoor.clq,10,10,0,0,1101522.5,1125778.2,"(2, 1113650.35, 0)"
DIMACS10,3,eu-2005.clq,10,10,0,0,2809844.3,2812701,"(2, 2811272.65, 2005000000000)"
DIMACS10,4,in-2004.clq,10,10,0,0,7416436.9,7420561,"(2, 7418498.95, 2004000000000)"
DIMACS10,5,uk-2002.clq,10,5,0,0,100875915.4,97158097,"(2, 99017006.2, 2002000000000)"
NDR,1,tech-ip.clq,8,10,0,0,2275.5,2281.4,"(2, 2278.45, 0)"
NDR,2,web-it-2004.clq,8,10,0,0,2567502.25,2567569.4,"(2, 2567535.825, 2004000000000)"
NDR,3,sc-rel9.clq,8,10,0,0,11243624.75,12182910.7,"(2, 11713267.725, 9000000000)"
NDR,4,inf-roadNet-CA.clq,8,10,0,0,51129459.125,52501465.6,"(2, 51815462.3625, 0)"
NDR,5,wikipedia_link_en.clq,8,10,0,0,2408968576,2408968634,"(2, 2408968605.0, 0)"
SNAP,1,Wiki-Vote.clq,10,10,1,0,86402,86402,"(0, 0.0, 0)"
SNAP,2,p2p-Gnutella25.clq,10,10,1,0,377449,377449,"(0, 0.0, 2000000025)"
SNAP,3,Slashdot0902.clq,10,10,1,0,1143003.1,1143119,"(0, 0.00043, 902000000000)"
SNAP,4,Cit-HepTh.clq,10,10,1,0,214468.3,214634.5,"(0, 0.0053100000000000005, 0)"
SNAP,5,Amazon0302.clq,10,10,1,0,2370204.5,2408815.9,"(0, 0.0436, 302000000000)"
