candidate,solver,family,arm,rows,baseline_rows,delta_avg_best_lb_vs_dbs_only,delta_avg_lb_gain_vs_dbs_only,delta_avg_gap_vs_dbs_only,delta_avg_ub_gain_vs_dbs_only,delta_opt_rate_vs_dbs_only
v006,deep-v6,BHOSLIB,heavy_probe,2,8,0.75,-0.125,-0.625,0.0,0.375
v006,deep-v6,BHOSLIB,light_probe,9,8,0.5277777777777777,0.09722222222222221,-0.23611111111111116,0.0,0.09722222222222221
v006,deep-v6,BHOSLIB,rollback_probe,5,8,-0.25,0.07500000000000001,0.2749999999999999,0.0,-0.125
v006,deep-v6,BHOSLIB,standard_probe,6,8,0.9166666666666665,0.20833333333333331,-0.29166666666666663,0.0,0.20833333333333331
v006,deep-v6,DIMACS,heavy_probe,5,4,-5.800000000000001,0.0,-1.2999999999999998,0.0,0.2
v006,deep-v6,DIMACS,light_probe,7,4,-12.142857142857142,0.0,-1.0714285714285716,0.0,0.14285714285714285
v006,deep-v6,DIMACS,rollback_probe,9,4,-11.222222222222221,0.0,-1.2777777777777777,0.0,0.3333333333333333
v006,deep-v6,DIMACS,standard_probe,5,4,-13.4,0.0,0.9000000000000004,0.0,0.2
v006,deep-v6,T1,heavy_probe,6,6,-139.83333333333348,-2.9999999999999982,-9.833333333333343,-9.666666666666671,0.0
v006,deep-v6,T1,light_probe,8,6,811.0,17.041666666666668,16.83333333333333,48.625,0.0
v006,deep-v6,T1,rollback_probe,4,6,2773.25,7.916666666666668,93.08333333333333,161.5,0.0
v006,deep-v6,T1,standard_probe,6,6,-1375.1666666666667,9.5,10.5,-60.0,0.0
v006,deep-v6,T2,heavy_probe,7,5,-679.6571428571428,-73.77142857142856,-81.31428571428575,-45.3142857142857,0.22857142857142854
v006,deep-v6,T2,light_probe,7,5,138.48571428571427,9.657142857142873,82.25714285714281,32.82857142857142,0.3714285714285714
v006,deep-v6,T2,rollback_probe,7,5,-482.79999999999995,-61.9142857142857,-68.8857142857143,-33.599999999999994,0.22857142857142854
v006,deep-v6,T2,standard_probe,4,5,84.95000000000005,1.5500000000000114,67.89999999999998,19.150000000000006,0.04999999999999999
v006,deep-v6,UDG,heavy_probe,5,9,-27.355555555555554,0.0,1.4666666666666668,0.0,-0.4888888888888888
v006,deep-v6,UDG,light_probe,8,9,-3.180555555555543,0.0,0.041666666666666685,0.0,-0.01388888888888884
v006,deep-v6,UDG,rollback_probe,5,9,-37.75555555555553,0.0,0.26666666666666666,0.0,-0.0888888888888888
v006,deep-v6,UDG,standard_probe,3,9,93.44444444444446,0.0,-0.3333333333333333,0.0,0.11111111111111116
v006,fast-v19,BHOSLIB,heavy_probe,6,9,-1.8333333333333335,-0.3333333333333333,0.8333333333333334,0.0,-0.3333333333333333
v006,fast-v19,BHOSLIB,light_probe,3,9,-1.0,0.0,0.6666666666666666,0.0,-0.3333333333333333
v006,fast-v19,BHOSLIB,rollback_probe,7,9,-0.6190476190476191,-0.3333333333333333,0.04761904761904767,0.0,0.09523809523809523
v006,fast-v19,BHOSLIB,standard_probe,5,9,-0.7333333333333334,0.06666666666666671,0.5333333333333333,0.0,-0.3333333333333333
v006,fast-v19,DIMACS,heavy_probe,6,3,8.666666666666668,0.0,-1.3333333333333335,0.0,0.0
v006,fast-v19,DIMACS,light_probe,10,3,7.466666666666668,0.0,1.3666666666666667,0.0,-0.2333333333333333
v006,fast-v19,DIMACS,rollback_probe,4,3,14.166666666666668,0.0,-0.08333333333333348,0.0,-0.08333333333333331
v006,fast-v19,DIMACS,standard_probe,7,3,0.666666666666667,0.0,1.2380952380952381,0.0,-0.19047619047619047
v006,fast-v19,T1,heavy_probe,5,5,-2237.2,6.199999999999999,-112.4,-131.20000000000002,0.0
v006,fast-v19,T1,light_probe,8,5,-2265.325,11.35,-75.0,-138.97500000000002,0.0
v006,fast-v19,T1,rollback_probe,7,5,-658.485714285714,-0.2571428571428572,-74.14285714285714,-60.457142857142884,0.0
v006,fast-v19,T1,standard_probe,5,5,-4481.2,5.6,-216.8,-263.6,0.0
v006,fast-v19,T2,heavy_probe,7,7,-185.1428571428571,110.42857142857143,-293.85714285714283,-60.571428571428584,-0.42857142857142855
v006,fast-v19,T2,light_probe,3,7,940.2857142857142,262.0,-96.57142857142856,37.76190476190476,-0.5714285714285714
v006,fast-v19,T2,rollback_probe,8,7,219.53571428571422,97.0,-119.19642857142856,-7.821428571428584,-0.1964285714285714
v006,fast-v19,T2,standard_probe,5,7,-1218.3142857142857,0.0,-501.57142857142856,-136.3714285714286,0.22857142857142865
v006,fast-v19,UDG,heavy_probe,5,9,-8.933333333333337,0.0,-0.4,0.0,0.13333333333333341
v006,fast-v19,UDG,light_probe,5,9,-33.53333333333333,0.0,-0.4,0.0,0.13333333333333341
v006,fast-v19,UDG,rollback_probe,7,9,174.95238095238093,0.0,-1.0,0.0,0.33333333333333337
v006,fast-v19,UDG,standard_probe,4,9,-126.58333333333334,0.0,-0.25,0.0,0.08333333333333337
