candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
refctl,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
refctl,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
refctl,deep-v6,T1,15,7,5,3,27,1,12,2,3,3,7,5,3,-24,0
refctl,deep-v6,T2,15,2,6,7,-168,0,15,0,0,0,2,6,7,168,0
refctl,deep-v6,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
refctl,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
refctl,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
refctl,fast-v19,T1,15,5,10,0,87,1,14,0,-4,0,6,9,0,-91,0
refctl,fast-v19,T2,15,6,9,0,2325,0,15,0,0,0,6,9,0,-2325,0
refctl,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
