candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
baseline,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,deep-v6,T1,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,deep-v6,T2,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,deep-v6,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
baseline,fast-v19,DIMACS,15,1,14,0,1,0,15,0,0,0,1,14,0,-1,0
baseline,fast-v19,T1,15,4,6,5,-40,0,12,3,9,4,4,6,5,49,0
baseline,fast-v19,T2,15,4,8,3,111,0,15,0,0,0,4,8,3,-111,0
baseline,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
