candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
reference,deep-v6,BHOSLIB,15,0,15,0,0,0,14,1,1,1,0,14,1,1,0
reference,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
reference,deep-v6,T1,15,3,9,3,16,1,13,1,-3,1,4,7,4,-19,0
reference,deep-v6,T2,15,4,8,3,44,0,15,0,0,0,4,8,3,-44,0
reference,deep-v6,UDG,15,0,15,0,0,2,12,1,-4,2,2,12,1,-4,0
reference,fast-v19,BHOSLIB,15,1,14,0,1,0,15,0,0,0,1,14,0,-1,0
reference,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
reference,fast-v19,T1,15,1,12,2,-2,1,12,2,2,2,2,9,4,4,0
reference,fast-v19,T2,15,1,12,2,2,0,15,0,0,0,1,12,2,-2,0
reference,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
