candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v009,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v009,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v009,deep-v6,DIMACS10,12,0,10,2,-267,0,9,3,600,436,0,9,3,867,0
v009,deep-v6,SNAP,15,1,9,5,-9056,4,6,5,19604,22131,3,6,6,28660,0
v009,deep-v6,T1,15,5,5,5,50,2,12,1,-1,1,5,5,5,-51,0
v009,deep-v6,T2,15,3,8,4,103,0,15,0,0,0,3,8,4,-103,0
v009,deep-v6,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v009,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v009,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v009,fast-v19,DIMACS10,15,3,8,4,231178,2,7,6,115232,108537,3,6,6,-115946,0
v009,fast-v19,SNAP,15,0,15,0,0,0,12,3,547702,183600,0,12,3,547702,0
v009,fast-v19,T1,15,5,10,0,107,1,14,0,-1,0,6,9,0,-108,0
v009,fast-v19,T2,15,5,10,0,1539,0,15,0,0,0,5,10,0,-1539,0
v009,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
